Link,Ngày đăng,Loại hình căn hộ,Số phòng ngủ,Số phòng tắm/vệ sinh,Pháp lý,Nội thất,Gia_VND,Diện tích (m²) đã làm sạch
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-179-1-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/ban-1pn-1wc-58m2-tai-vinmes-3-9-ty-vnd-pr44217468,08/10/2025,Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm,1.0,1.0,HDMB,Co ban,3900000000.0,58.0
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-179-1-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/ban-cc-1pn-1vs-48m2-tai-3-1-ty-view-dep-pr44186781,04/10/2025,Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm,1.0,1.0,So do/So hong,Day du/Cao cap,3100000000.0,48.0
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-21a-xa-thach-hoa-1-prj-legacy-hinoiri/quy-2-3pn-tang-trung-dep-t10-16-chiet-khau-doc-quyen-them-210tr-ck-10-lien-he-truc-tiep-cdt-pr44217446,08/10/2025,Căn hộ chung cư tại Legacy Hinoiri,3.0,3.0,So do/So hong,Day du/Cao cap,5700000000.0,110.0
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-32-xa-di-trach-prj-chung-cu-the-wisteria/-138m-3pn-3vs-ban-cong-tay-bac-tai-ai-duc-gia-chi-7-9-ty-pr44180404,03/10/2025,Căn hộ chung cư tại Chung cư The Wisteria,2.0,2.0,HDMB,Chua ro,5600000000.0,73.0
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-32-xa-di-trach-prj-chung-cu-the-wisteria/cap-nhat-quy-chuyen-nhuong-gia-tot-nhat-thang-10-2025-pr44234961,09/10/2025,Căn hộ chung cư tại Chung cư The Wisteria,2.0,2.0,HDMB,Co ban,6700000000.0,83.0
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-32-xa-di-trach-prj-chung-cu-the-wisteria/quy-duplex-sieu-sang-chi-30-nhan-nha-ngay-van-tro-lai-suat-toi-31-7-2027-pr44139195,09/10/2025,Căn hộ chung cư tại Chung cư The Wisteria,0.0,0.0,HDMB,Chua ro,16300000000.0,205.0
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-32-xa-tan-lap-24-prj-khu-dan-cu-tan-lap/-nha-o-i-phuong-1pn-1wc-va-2pn-2wc-gia-4x-trieu-m2-pr44222812,08/10/2025,Căn hộ chung cư tại Khu dân cư Tân lập,1.0,1.0,So do/So hong,Co ban,11500000000.0,40.0
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-5-xa-dong-hoi-prj-eurowindow-river-park/ban-3n2vs-85m2-view-cau-tru-full-noi-that-anh-pr44224742,08/10/2025,Căn hộ chung cư tại Eurowindow River Park,3.0,2.0,So do/So hong,Day du/Cao cap,5100000000.0,85.0
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-5-xa-dong-hoi-prj-eurowindow-river-park/chinh-chu-ban-2n2vs-72-9m2-truc-dep-chan-cau-tru-pr44224782,08/10/2025,Căn hộ chung cư tại Eurowindow River Park,2.0,2.0,So do/So hong,Co ban,4300000000.0,72.9
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-5-xa-dong-hoi-prj-eurowindow-river-park/chinh-chu-ban-3pn-82-1m2-toa-2-nha-dep-o-ngay-san-so-pr44130093,10/10/2025,Căn hộ chung cư tại Eurowindow River Park,3.0,2.0,So do/So hong,Day du/Cao cap,11500000000.0,82.1
